No.,Bout ID,Boxer,Date,Venue,ID,WeeklyID,lnRPurse,RPurse,Purse,RichA,Losers,DOB,Age,,weight,,RDS,TFights,Wins,KO,Losses,L-KO,Draws,OTFights,OWins,OKO,,OLosses,OL-KO,ODraws,,,,,NeverKO,ORecentKO,ORecentKOsq,Debut,ODebut,WinPerDiff,Rematch,Unify,W-Title,T-Belt,R-Title,R-Belt,Eliminator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,29,"Caldwell, Caleb",2009.03.06,Orleans Hotel,306,5,7.043425879,1145.304569,1000,0,1,84.06.24,24.75,,175,,4,7,2,2,4,3,1,5,2,1,,2,1,1,,,,,0,5,25,0,0,-11.42857143,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,30,"Fletes, Carlos",2009.03.06,Orleans Hotel,683,5,7.043425879,1145.304569,1000,0,1,70.02.27,39.08333333,,232,,4,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,30,"Tribolet, Beau J.",2009.03.06,Orleans Hotel,2325,5,7.043425879,1145.304569,1000,0,1,74.12.12,34.30045662,,243,,4,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,31,"McCall, Elijah K.",2009.03.06,Orleans Hotel,1424,5,7.043425879,1145.304569,1000,0,0,88.03.03,21,,224,,4,2,2,2,0,0,0,10,3,0,,3,0,4,,,,,1,0,0,0,0,70,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,31,"Morales, Alvaro",2009.03.06,Orleans Hotel,1551,5,7.379898116,1603.426396,1400,0,1,83.07.14,25.66666667,,300,,4,10,3,0,3,0,4,2,2,2,,0,0,0,,,,,0,1,1,0,0,-70,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,32,"Arreola, Cristobal",2009.04.11,Mandalay Bay,118,6,13.03489043,458121.8274,400000,1,0,81.03.05,28.08333333,,255,,12,26,26,23,0,0,0,51,39,23,,9,3,3,,,,,0,6,36,0,0,23.52941176,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,33,"Estrada, Shawn",2009.04.11,Mandalay Bay,649,6,7.959716611,2863.261421,2500,0,0,85.04.01,24,,164.5,,4,3,3,3,0,0,0,4,1,0,,1,1,2,,,,,1,0,0,0,0,75,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,34,"Dallas, Michael Jnr.",2009.04.11,Mandalay Bay,490,6,7.73657306,2290.609137,2000,0,0,86.12.19,22.36461187,,139,,4,7,6,1,0,0,1,18,4,2,,12,4,2,,,,,0,2,4,0,0,63.49206349,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,34,"Jett, Terrance M.",2009.04.11,Mandalay Bay,1102,6,7.73657306,2290.609137,2000,0,1,75.04.19,34,,139,,4,18,4,2,12,4,2,7,6,1,,0,0,1,,,,,0,3,9,0,0,-63.49206349,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,35,"McEwan, Craig",2009.04.11,Mandalay Bay,1435,6,9.346010972,11453.04569,10000,0,0,82.04.13,27,,161,,8,13,13,8,0,0,0,25,16,12,,9,6,0,,,,,0,9,81,0,0,36,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
